Year,Player,High School,team
2016,Bam Adebayo,"High Point Christian Academy (High Point, NC)"
2016,Jarrett Allen,"St. Stephens Episcopal School (Austin, TX)"
2016,Udoka Azubuike,"The Potter's House Christian Academy (Jacksonville, FL)"
2016,Lonzo Ball,"Chino Hills (Chino Hills, CA)"
2016,Marques Bolden,"DeSoto (DeSoto, TX)"
2016,Tony Bradley,"Bartow (Bartow, FL)"
2016,Miles Bridges,"Huntington Prep (Huntington, WV)"
2016,Zach Collins,"Bishop Gorman (Las Vegas, NV)"
2016,Terrance Ferguson,"Advanced Preparatory International (Dallas, TX)"
2016,De'Aaron Fox,"Cypress Lakes (Katy, TX)"
2016,Markelle Fultz,"DeMatha Catholic (Hyattsville, MD)"
2016,Alterique Gilbert,"Miller Grove (Lithonia, GA)"
2016,Kyle Guy,"Lawrence Central (Indianapolis, IN)"
2016,Dewan Huell,"Miami Norland (Miami, FL)"
2016,Frank Jackson,"Lone Peak (Highland, UT)"
2016,Josh Jackson,"Prolific Prep Academy (Napa, CA)"
2016,Andrew Jones,"MacArthur (Irving, TX)"
2016,Sacha Killeya-Jones,"Virginia Episcopal School (Lynchburg, VA)"
2016,VJ King,"Paul VI (Fairfax, VA)"
2016,Joshua Langford,"Madison Academy (Madison, AL)"
2016,TJ Leaf,"Foothills Christian (El Cajon, CA)"
2016,Malik Monk,"Bentonville (Bentonville, AR)"
2016,Kobi Simmons,"St. Francis (Alpharetta, GA)"
2016,Jayson Tatum,"Chaminade College Preparatory School (St. Louis, MO)"
2016,Dwayne Bacon,"Oak Hill Academy (Mouth of Wilson, VA)"
2015,Antonio Blakeney,"Oak Ridge (Orlando, FL)"
2015,Carlton Bragg,"Villa Angela-St. Joseph (Cleveland, OH)"
2015,Isaiah Briscoe,"Roselle Catholic (Roselle, NJ)"
2015,Jaylen Brown,"Wheeler (Marietta, GA)"
2015,Jalen Brunson,"Adlai E. Stevenson (Lincolnshire, IL)"
2015,Thomas Bryant,"Huntington Prep (Huntington, WV)"
2015,Deyonta Davis,"Muskegon (Muskegon, MI)"
2015,Cheick Diallo,"Our Savior New American School (Centereach, NY)"
2015,P.J. Dozier,"Spring Valley (Columbia, SC)"
2015,Henry Ellenson,"Rice Lake (Rice Lake, WI)"
2015,Jawun Evans,"Kimball (Dallas, TX)"
2015,Brandon Ingram,"Kinston (Kinston, NC)"
2015,Chase Jeter,"Bishop Gorman (Las Vegas, NV)"
2015,Luke Kennard,"Franklin (Franklin, OH)"
2015,Dedric Lawson,"Hamilton (Memphis, TN)"
2015,Malik Newman,"Callaway (Jackson, MS)"
2015,Ivan Rabb,"Bishop O'Dowd (Oakland, CA)"
2015,Malachi Richardson,"Trenton Catholic (Hamilton, NJ)"
2015,Ben Simmons,"Montverde Academy (Montverde, FL)"
2015,Diamond Stone,"Dominican (Whitefish Bay, WI)"
2015,Caleb Swanigan,"Homestead (Fort Wayne, IN)"
2015,Alonzo Trier,"Findlay Prep (Henderson, NV)"
2015,Stephen Zimmerman,"Bishop Gorman (Las Vegas, NV)"
2015,Cliff Alexander,"Curie High School (Chicago, IL)"
2014,Grayson Allen,"Providence School of Jacksonville (Jacksonville, FL)"
2014,Joel Berry,"Lake Highland Prep (Apopka, FL)"
2014,"James Blackmon, Jr.","Marion High School (Marion, IN)"
2014,Devin Booker,"Moss Point High School (Moss Point, MS)"
2014,Justin Jackson,"Homeschool Christian (Tomball, TX)"
2014,Stanley Johnson,"Mater Dei High School (Fullerton, CA)"
2014,Tyus Jones,"Apple Valley High School (Apple Valley, MN)"
2014,Kevon Looney,"Milwaukee Hamilton High School (Milwaukee, WI)"
2014,Trey Lyles,"Arsenal Technical (Indianapolis, IN)"
2014,Emmanuel Mudiay,"Prime Prep Academy (Dallas, TX)"
2014,Jahlil Okafor,"Whitney Young Magnet High School (Chicago, IL)"
2014,Kelly Oubre,"Findlay College Prep (Richmond, TX)"
2014,Theo Pinson,"Wesleyan Christian (Greensboro, NC)"
2014,D'Angelo Russell,"Montverde Academy (Louisville, KY)"
2014,"Karl-Anthony Towns, Jr.","St. Joseph High School (Metuchen, NJ)"
2014,Reid Travis,"De La Salle High School (Minneapolis, MN)"
2014,Melo Trimble,"O'Connell High School (Upper Marlboro, MD)"
2014,Myles Turner,"Trinity High School (Bedford, TX)"
2014,Tyler Ulis,"Marian Catholic High School (Matteson, IL)"
2014,Rashad Vaughn,"Findlay College Prep (Golden Valley, MN)"
2014,Thomas Welsh,"Loyola High School (Los Angeles, CA)"
2014,Isaiah Whitehead,"Lincoln High School (Brooklyn, NY)"
2014,Justise Winslow,"Saint John's High School (Houston, TX)"
2014,Cat Barber,"Hampton (Hampton, VA)"
2013,Jabari Bird,"Salesian (Richmond, CA)"
2013,Keith Frazier,"Justin F. Kimball (Dallas, TX)"
2013,Aaron Gordon,"Archbishop Mitty (San Jose, CA)"
2013,Isaac Hamilton,"St. John Bosco (Bellflower, CA)"
2013,Aaron Harrison,"William B. Travis (Richmond, TX)"
2013,Andrew Harrison,"William B. Travis (Richmond, TX)"
2013,Isaiah Hicks,"J.F. Webb (Oxford, NC)"
2013,Kasey Hill,"Montverde Academy (Montverde, FL)"
2013,Rondae Hollis-Jefferson,"Chester (Chester, PA)"
2013,Demetrius Jackson,"Marian (Mishawaka, IN)"
2013,Dakari Johnson,"Montverde Academy (Montverde, FL)"
2013,Matt Jones,"DeSoto (DeSoto, TX)"
2013,Marcus Lee,"Deer Valley (Antioch, CA)"
