Rk,Year,Date,Region,Round,Seed0,School0,Seed1,School1,OT,Diff,City,State,Zipcode,Latitude,Longitude
2990,1993,March 25 1993,Southeast,Regional Semifinal,5,1448,1,1246,,-34,Charlotte,NC,28201,35.26,-80.8042
2989,1993,March 25 1993,Southeast,Regional Semifinal,7,1443,3,1199,OT,-3,Charlotte,NC,28201,35.26,-80.8042
2977,1993,March 27 1993,Southeast,Regional Final,1,1246,3,1199,,25,Charlotte,NC,28201,35.26,-80.8042
2992,1993,March 25 1993,Southeast,Regional Semifinal,1,1246,5,1448,,34,Charlotte,NC,28201,35.26,-80.8042
2980,1993,March 27 1993,Southeast,Regional Final,3,1199,1,1246,,-25,Charlotte,NC,28201,35.26,-80.8042
2995,1993,March 25 1993,Southeast,Regional Semifinal,3,1199,7,1443,OT,3,Charlotte,NC,28201,35.26,-80.8042
2968,1993,April 5 1993,National,National Final,1,1276,1,1314,,-6,New Orleans,LA,70112,29.9605,-90.0753
2970,1993,April 3 1993,National,National Semifinal,1,1276,1,1246,OT,3,New Orleans,LA,70112,29.9605,-90.0753
2972,1993,April 3 1993,National,National Semifinal,2,1242,1,1314,,-10,New Orleans,LA,70112,29.9605,-90.0753
2967,1993,April 5 1993,National,National Final,1,1314,1,1276,,6,New Orleans,LA,70112,29.9605,-90.0753
2969,1993,April 3 1993,National,National Semifinal,1,1314,2,1242,,10,New Orleans,LA,70112,29.9605,-90.0753
2971,1993,April 3 1993,National,National Semifinal,1,1246,1,1276,OT,-3,New Orleans,LA,70112,29.9605,-90.0753
3038,1993,March 19 1993,East,First Round,14,1335,3,1269,,-4,Syracuse,NY,13201,43.0214,-76.1977
3004,1993,March 21 1993,East,Second Round,7,1308,2,1153,,-37,Syracuse,NY,13201,43.0214,-76.1977
3041,1993,March 19 1993,East,First Round,7,1308,10,1304,,14,Syracuse,NY,13201,43.0214,-76.1977
3043,1993,March 19 1993,East,First Round,10,1304,7,1308,,-14,Syracuse,NY,13201,43.0214,-76.1977
3006,1993,March 21 1993,East,Second Round,3,1269,6,1438,,-15,Syracuse,NY,13201,43.0214,-76.1977
3045,1993,March 19 1993,East,First Round,3,1269,14,1335,,4,Syracuse,NY,13201,43.0214,-76.1977
3047,1993,March 19 1993,East,First Round,11,1264,6,1438,,-12,Syracuse,NY,13201,43.0214,-76.1977
3057,1993,March 19 1993,East,First Round,15,1164,2,1153,,-27,Syracuse,NY,13201,43.0214,-76.1977
