Season,Team_Id,Wins
2002,1338,1
1995,1311,0
1999,1246,3
2015,1231,0
2002,1231,5
2007,1308,0
2001,1235,0
1998,1274,0
2001,1457,0
1995,1443,1
1998,1203,0
2008,1443,1
2009,1268,1
1993,1398,0
2004,1334,1
1999,1283,2
2009,1393,3
2015,1257,3
1993,1329,1
2000,1220,0
2009,1462,2
1999,1345,2
2009,1400,1
2001,1232,1
1993,1153,3
2010,1449,2
2005,1166,0
2015,1268,1
2002,1242,4
1994,1251,0
2007,1310,1
1993,1428,1
2000,1166,0
2011,1211,1
2003,1451,0
1997,1293,0
2006,1393,0
2000,1328,0
2005,1301,2
1999,1308,0
1995,1159,0
2011,1435,0
2014,1400,1
2009,1443,1
2015,1261,0
1997,1314,4
2001,1214,1
2000,1139,0
2013,1434,0
2010,1435,0
2004,1130,1
2003,1173,0
2016,1386,1
2011,1343,0
1995,1113,2
2004,1140,0
2008,1396,0
1993,1380,1
2005,1393,0
2006,1423,0
2004,1106,0
2006,1207,3
2013,1272,1
2013,1433,1
2013,1160,0
1996,1116,2
1996,1210,2
2015,1208,0
2011,1254,0
2006,1284,1
2010,1199,0
2010,1124,3
1996,1390,0
1996,1185,2
2004,1305,2
2015,1207,1
2003,1409,1
1993,1242,4
1994,1130,3
2014,1338,1
2013,1251,0
2014,1454,0
2011,1281,0
2012,1217,0
2002,1285,0
1993,1438,1
1994,1116,6
2015,1345,0
1999,1409,1
2004,1210,5
2005,1454,1
2008,1246,0
1996,1400,1
2012,1276,0
2001,1344,0
1994,1143,0
2003,1390,1
1995,1112,0
2016,1277,0
2002,1364,0
2012,1207,0
2012,1396,0
2001,1246,2
2002,1268,6
1998,1452,2
1999,1335,0
2008,1272,5
2015,1209,1
2006,1412,0
2005,1261,0
1998,1181,3
1999,1191,0
2011,1276,1
2013,1443,0
2001,1116,0
2004,1435,2
1998,1178,1
1996,1434,0
2007,1317,0
2007,1394,0
2011,1103,0
2008,1424,1
2007,1462,0
1997,1238,0
2012,1199,0
1999,1196,2
2000,1201,0
2015,1455,3
2016,1344,1
2002,1279,0
2016,1231,2
1994,1158,0
1997,1386,2
2008,1375,0
2003,1122,0
2016,1114,1
1998,1328,0
2006,1380,0
1998,1449,2
1997,1254,0
2006,1293,0
2001,1208,0
2015,1323,3
2008,1291,1
2004,1371,1
2016,1435,0
2011,1462,0
2015,1186,0
1998,1390,4
2006,1245,0
2001,1207,2
2016,1377,0
2011,1397,0
2013,1196,3
2000,1277,5
2014,1242,1
2014,1409,0
2002,1227,0
1995,1389,0
2013,1332,2
2002,1131,0
2015,1181,6
2005,1277,4
2012,1435,1
1994,1393,2
2008,1125,0
1999,1397,1
1996,1290,0
2016,1396,0
1995,1453,0
1998,1192,0
2009,1433,0
2002,1104,1
1999,1211,3
2013,1247,3
2014,1234,0
2011,1412,0
2002,1150,0
2006,1277,0
2005,1150,0
1993,1335,0
1999,1390,1
2000,1111,0
2011,1153,1
1993,1181,1
1996,1376,0
2013,1125,0
2007,1457,1
2000,1397,2
2008,1458,2
2016,1328,4
1997,1345,1
2010,1459,0
2013,1103,0
2005,1257,4
2009,1272,2
2013,1112,1
