School,team_id,Year,FR,SO,JR,SR,GR,NONE,MCD
Abilene Christian,1101,2015,5,1,6,2,0,0,0
Abilene Christian,1101,2016,4,2,1,4,0,0,0
Abilene Christian,1101,2014,3,3,6,0,0,0,0
Abilene Christian,1101,2017,5,4,3,1,0,0,0
Air Force,1102,2015,9,3,1,5,0,0,0
Air Force,1102,2016,8,7,4,1,0,0,0
Air Force,1102,2011,3,7,3,3,0,0,0
Air Force,1102,2006,4,4,5,2,0,0,0
Air Force,1102,2008,5,4,3,4,0,0,0
Air Force,1102,2009,6,4,4,3,0,0,0
Air Force,1102,2012,8,1,6,3,0,0,0
Air Force,1102,2003,6,4,3,2,0,0,0
Air Force,1102,2010,7,3,3,4,0,0,0
Air Force,1102,2002,4,5,2,2,0,0,0
Air Force,1102,2007,4,3,4,6,0,0,0
Air Force,1102,2013,3,6,1,5,0,0,0
Air Force,1102,2004,7,2,3,4,0,0,0
Air Force,1102,2014,7,2,7,1,0,0,0
Air Force,1102,2005,5,6,3,3,0,0,0
Air Force,1102,2017,7,3,6,3,0,0,0
Akron,1103,2012,2,7,3,3,0,0,0
Akron,1103,2007,2,3,6,3,0,0,0
Akron,1103,2008,1,5,2,6,0,0,0
Akron,1103,2006,2,6,3,3,0,0,0
Akron,1103,2009,6,3,3,2,0,0,0
Akron,1103,2014,3,4,2,3,0,0,0
Akron,1103,2015,6,3,3,3,0,0,0
Akron,1103,2004,3,3,5,4,0,0,0
Akron,1103,2002,6,6,1,2,0,0,0
Akron,1103,2016,4,4,3,3,0,0,0
Akron,1103,2013,6,2,4,3,0,0,0
Akron,1103,2003,2,6,5,0,0,0,0
Akron,1103,2010,2,6,3,4,0,0,0
Akron,1103,2005,6,3,2,4,0,0,0
Akron,1103,2011,4,3,3,4,0,0,0
Akron,1103,2017,5,2,4,4,0,0,0
Alabama,1104,2002,2,3,5,1,0,0,1
Alabama,1104,2009,2,2,5,3,0,0,1
Alabama,1104,2016,4,3,3,2,0,0,0
Alabama,1104,2004,2,4,2,4,0,0,0
Alabama,1104,2003,4,3,4,3,0,0,1
Alabama,1104,2015,3,4,2,3,0,0,0
Alabama,1104,2005,3,5,5,2,0,0,0
Alabama,1104,2013,3,5,5,1,0,0,1
Alabama,1104,2014,2,1,6,2,0,0,0
Alabama,1104,2012,4,5,3,1,0,0,1
Alabama,1104,2006,3,3,1,3,0,0,1
Alabama,1104,2007,7,3,4,1,0,0,1
Alabama,1104,2011,4,4,2,4,0,0,1
Alabama,1104,2010,3,2,4,4,0,0,1
Alabama,1104,2008,3,5,3,3,0,0,1
Alabama,1104,2017,2,4,3,4,0,1,0
Alabama A&M,1105,2010,4,3,6,2,0,0,1
Alabama A&M,1105,2008,4,6,4,1,0,0,0
Alabama A&M,1105,2014,3,4,2,6,0,0,0
Alabama A&M,1105,2013,5,2,6,1,0,0,0
Alabama A&M,1105,2006,4,5,4,3,0,0,0
Alabama A&M,1105,2009,4,4,3,2,0,0,1
Alabama A&M,1105,2015,1,4,8,0,0,0,0
Alabama A&M,1105,2012,2,9,3,2,0,0,1
Alabama A&M,1105,2007,6,3,2,2,0,0,0
Alabama A&M,1105,2004,5,3,3,4,0,0,0
Alabama A&M,1105,2002,1,5,7,3,0,0,0
Alabama A&M,1105,2005,5,2,6,3,0,0,0
Alabama A&M,1105,2016,5,0,6,8,0,0,0
Alabama A&M,1105,2003,4,1,5,5,0,0,0
Alabama A&M,1105,2011,8,0,2,6,0,0,0
Alabama A&M,1105,2017,3,2,3,6,0,0,0
Alabama State,1106,2015,3,3,6,6,0,0,0
Alabama State,1106,2002,3,5,4,3,0,0,0
Alabama State,1106,2016,3,3,5,4,0,0,0
Alabama State,1106,2014,6,5,4,0,0,0,0
Alabama State,1106,2010,3,4,5,3,0,1,0
Alabama State,1106,2007,5,2,5,1,0,0,0
Alabama State,1106,2009,7,2,3,4,0,0,0
Alabama State,1106,2011,6,1,6,4,0,0,0
Alabama State,1106,2006,4,5,3,3,0,0,0
Alabama State,1106,2008,4,1,6,3,0,0,0
Alabama State,1106,2012,2,2,4,4,0,0,0
Alabama State,1106,2005,5,4,4,3,0,0,0
Alabama State,1106,2013,6,1,5,5,0,0,0
Alabama State,1106,2004,2,3,8,3,0,0,0
Alabama State,1106,2003,3,2,5,4,0,0,0
Alabama State,1106,2017,3,1,7,4,0,0,0
Alabama-Birmingham,1412,2002,1,3,3,4,0,0,0
Alabama-Birmingham,1412,2013,0,1,7,3,0,0,0
Alabama-Birmingham,1412,2014,3,0,3,5,1,0,0
Alabama-Birmingham,1412,2008,2,4,6,2,0,0,0
Alabama-Birmingham,1412,2009,3,1,1,6,0,0,0
Alabama-Birmingham,1412,2016,1,5,5,1,0,0,0
Alabama-Birmingham,1412,2003,5,1,4,3,0,0,0
Alabama-Birmingham,1412,2010,3,1,3,3,0,0,0
Alabama-Birmingham,1412,2012,2,4,3,2,0,0,0
Alabama-Birmingham,1412,2005,2,1,7,3,0,0,0
Alabama-Birmingham,1412,2015,7,3,1,2,0,0,0
Alabama-Birmingham,1412,2006,4,2,2,7,0,0,0
Alabama-Birmingham,1412,2004,2,6,3,5,0,0,0
Alabama-Birmingham,1412,2007,5,3,3,2,0,0,0
Alabama-Birmingham,1412,2011,4,3,2,3,0,0,0
Alabama-Birmingham,1412,2017,2,2,3,5,0,0,0
Albany (NY),1107,2015,5,4,4,2,0,0,0
Albany (NY),1107,2013,3,1,5,4,0,0,0
Albany (NY),1107,2014,2,4,3,5,0,0,0
Albany (NY),1107,2009,3,2,4,3,0,0,0
Albany (NY),1107,2002,5,2,5,3,0,0,0
Albany (NY),1107,2008,3,3,3,3,0,0,0
Albany (NY),1107,2012,3,3,6,0,0,0,0
Albany (NY),1107,2003,4,2,1,4,0,0,0
Albany (NY),1107,2004,4,4,2,1,0,0,0
Albany (NY),1107,2010,5,1,3,4,0,0,0
Albany (NY),1107,2011,4,5,3,1,0,0,0
Albany (NY),1107,2006,2,4,4,4,0,0,0
Albany (NY),1107,2005,4,3,6,2,0,0,0
Albany (NY),1107,2007,3,2,6,2,0,0,0
Albany (NY),1107,2016,2,1,5,3,0,0,0
Albany (NY),1107,2017,1,3,6,3,0,0,0
Alcorn State,1108,2015,5,3,7,1,0,0,0
Alcorn State,1108,2008,4,2,4,5,0,0,0
Alcorn State,1108,2013,6,1,5,4,0,0,0
Alcorn State,1108,2014,3,4,2,6,0,0,0
Alcorn State,1108,2002,2,2,6,4,0,0,0
Alcorn State,1108,2009,5,2,5,3,0,0,0
Alcorn State,1108,2012,5,1,7,2,0,0,0
Alcorn State,1108,2004,4,3,5,2,0,0,0
Alcorn State,1108,2003,7,2,4,3,0,0,0
