School,Secondary Name,City,State,Type,Primary Conference
Akron ,University of Akron,Akron,Ohio,State,Mid-American Conference
Alabama ,University of Alabama,Tuscaloosa,Alabama,State,Southeastern Conference
Alabama Agricultural and Mechanical University,,Huntsville,Alabama,State,Southwestern Athletic Conference
Alabama Birmingham ,University of Alabama at Birmingham,Birmingham,Alabama,State,Conference USA
Alabama State University,,Montgomery,Alabama,State,Southwestern Athletic Conference
Albany ,"University at Albany, SUNY",Albany,New York,State,America East Conference
Alcorn State University,,Lorman,Mississippi,State,Southwestern Athletic Conference
American University,,Washington,District of Columbia,Private/Methodist,Patriot League
Appalachian State University,,Boone,North Carolina,State,Sun Belt Conference
Arizona ,University of Arizona,Tucson,Arizona,State,Pac-12 Conference
Arizona State University,,Tempe,Arizona,State,Pac-12 Conference
Arkansas ,University of Arkansas,Fayetteville,Arkansas,State,Southeastern Conference
Arkansas Little Rock ,University of Arkansas at Little Rock[A 2],Little Rock,Arkansas,State,Sun Belt Conference
Arkansas Pine Bluff ,University of Arkansas at Pine Bluff,Pine Bluff,Arkansas,State,Southwestern Athletic Conference
Arkansas State University,,Jonesboro,Arkansas,State,Sun Belt Conference
Auburn University,,Auburn,Alabama,State,Southeastern Conference
Austin Peay State University,,Clarksville,Tennessee,State,Ohio Valley Conference
Ball State University,,Muncie,Indiana,State,Mid-American Conference
Baylor University,,Waco,Texas,Private/Baptist,Big 12 Conference
Belmont University,,Nashville,Tennessee,Private/Christian,Ohio Valley Conference
Bethune-Cookman University,,Daytona Beach,Florida,Private/Methodist,Mid-Eastern Athletic Conference
Binghamton University,,Vestal,New York,State,America East Conference
Boise State University,,Boise,Idaho,State,Mountain West Conference
Boston College,,Chestnut Hill,Massachusetts,Private/Catholic,Atlantic Coast Conference
Boston University,,Boston,Massachusetts,Private/Non-sectarian,Patriot League
Bowling Green State University,,Bowling Green,Ohio,State,Mid-American Conference
Bradley University,,Peoria,Illinois,Private/Non-Sectarian,Missouri Valley Conference
Brigham Young University,,Provo,Utah,Private/Latter-Day Saints,West Coast Conference
Brown University,,Providence,Rhode Island,Private/Non-Sectarian,Ivy League
Bryant University,,Smithfield,Rhode Island,Private/Non-Sectarian,Northeast Conference
Bucknell University,,Lewisburg,Pennsylvania,Private/Non-Sectarian,Patriot League
Buffalo ,University at Buffalo,Buffalo,New York,State,Mid-American Conference
Butler University,,Indianapolis,Indiana,Private/Non-Sectarian,Big East Conference
California Berkeley ,"University of California, Berkeley",Berkeley,California,State,Pac-12 Conference
