,Season,Seed,Team_Id,Team_Name
0,1985,W01,1207,Georgetown
1,1986,X04,1207,Georgetown
2,1987,X01,1207,Georgetown
3,1988,W08,1207,Georgetown
4,1989,W01,1207,Georgetown
5,1990,X03,1207,Georgetown
6,1991,Z08,1207,Georgetown
7,1992,X06,1207,Georgetown
8,1994,Y09,1207,Georgetown
9,1995,Z06,1207,Georgetown
10,1996,W02,1207,Georgetown
11,1997,Z10,1207,Georgetown
12,2001,X10,1207,Georgetown
13,2006,Y07,1207,Georgetown
14,2007,W02,1207,Georgetown
15,2008,X02,1207,Georgetown
16,2010,Y03,1207,Georgetown
17,2011,Z06,1207,Georgetown
18,2012,X03,1207,Georgetown
19,2013,X02,1207,Georgetown
20,2015,X04,1207,Georgetown
21,1985,W02,1210,Georgia Tech
22,1986,Y02,1210,Georgia Tech
23,1987,Y07,1210,Georgia Tech
24,1988,W05,1210,Georgia Tech
25,1989,Y06,1210,Georgia Tech
26,1990,Y04,1210,Georgia Tech
27,1991,Y08,1210,Georgia Tech
28,1992,Y07,1210,Georgia Tech
29,1993,Z04,1210,Georgia Tech
30,1996,Y03,1210,Georgia Tech
31,2001,X08,1210,Georgia Tech
32,2004,Z03,1210,Georgia Tech
33,2005,W05,1210,Georgia Tech
34,2007,Y10,1210,Georgia Tech
35,2010,Y10,1210,Georgia Tech
36,1985,W03,1228,Illinois
37,1986,Y04,1228,Illinois
38,1987,X03,1228,Illinois
39,1988,Y03,1228,Illinois
40,1989,Y01,1228,Illinois
41,1990,X05,1228,Illinois
42,1993,Z06,1228,Illinois
43,1994,Y08,1228,Illinois
44,1995,W11,1228,Illinois
45,1997,X06,1228,Illinois
46,1998,X05,1228,Illinois
47,2000,W04,1228,Illinois
48,2001,Y01,1228,Illinois
49,2002,X04,1228,Illinois
50,2003,Z04,1228,Illinois
51,2004,W05,1228,Illinois
52,2005,X01,1228,Illinois
53,2006,Z04,1228,Illinois
54,2007,Z12,1228,Illinois
55,2009,X05,1228,Illinois
56,2011,Z09,1228,Illinois
57,2013,W07,1228,Illinois
58,1985,W04,1260,Loyola-Chicago
59,1985,W05,1374,SMU
60,1988,W07,1374,SMU
61,1993,X10,1374,SMU
62,2015,X06,1374,SMU
63,1985,W06,1208,Georgia
64,1987,Z08,1208,Georgia
65,1990,X07,1208,Georgia
66,1991,X11,1208,Georgia
67,1996,Z08,1208,Georgia
68,1997,X03,1208,Georgia
69,2001,W08,1208,Georgia
70,2002,W03,1208,Georgia
71,2008,Z14,1208,Georgia
72,2011,W10,1208,Georgia
73,2015,W10,1208,Georgia
74,1985,W07,1393,Syracuse
75,1986,W02,1393,Syracuse
76,1987,W02,1393,Syracuse
77,1988,W03,1393,Syracuse
78,1989,Y02,1393,Syracuse
79,1990,Y02,1393,Syracuse
80,1991,W02,1393,Syracuse
81,1992,W06,1393,Syracuse
82,1994,Z04,1393,Syracuse
83,1995,Y07,1393,Syracuse
84,1996,Z04,1393,Syracuse
85,1998,Z05,1393,Syracuse
86,1999,Y08,1393,Syracuse
87,2000,Y04,1393,Syracuse
88,2001,Y05,1393,Syracuse
89,2003,W03,1393,Syracuse
90,2004,X05,1393,Syracuse
91,2005,Y04,1393,Syracuse
92,2006,W05,1393,Syracuse
93,2009,X03,1393,Syracuse
94,2010,Z01,1393,Syracuse
95,2011,W03,1393,Syracuse
96,2012,W01,1393,Syracuse
97,2013,W04,1393,Syracuse
98,2014,X03,1393,Syracuse
99,2016,X10,1393,Syracuse
100,1985,W08,1396,Temple
101,1986,X09,1396,Temple
102,1987,Y02,1396,Temple
103,1988,W01,1396,Temple
104,1990,W11,1396,Temple
105,1991,W10,1396,Temple
106,1992,Z11,1396,Temple
107,1993,Z07,1396,Temple
108,1994,W04,1396,Temple
109,1995,X10,1396,Temple
110,1996,Y07,1396,Temple
111,1997,Y09,1396,Temple
112,1998,X07,1396,Temple
113,1999,W06,1396,Temple
114,2000,W02,1396,Temple
115,2001,Z11,1396,Temple
116,2008,Y12,1396,Temple
117,2009,X11,1396,Temple
118,2010,W05,1396,Temple
119,2011,X07,1396,Temple
120,2012,X05,1396,Temple
121,2013,W09,1396,Temple
122,2016,Y10,1396,Temple
123,1985,W09,1439,Virginia Tech
124,1986,Y07,1439,Virginia Tech
125,1996,X09,1439,Virginia Tech
126,2007,Z05,1439,Virginia Tech
127,1985,W10,1177,DePaul
128,1986,W12,1177,DePaul
129,1987,Y03,1177,DePaul
130,1988,X05,1177,DePaul
131,1989,X12,1177,DePaul
132,1991,Y09,1177,DePaul
133,1992,X05,1177,DePaul
134,2000,W09,1177,DePaul
135,2004,X07,1177,DePaul
136,1985,W11,1455,Wichita St
137,1987,Y11,1455,Wichita St
138,1988,X12,1455,Wichita St
139,2006,Z07,1455,Wichita St
140,2012,Y05,1455,Wichita St
141,2013,Z09,1455,Wichita St
142,2014,Y01,1455,Wichita St
143,2015,Y07,1455,Wichita St
144,2016,Y11b,1455,Wichita St
145,1985,W12,1330,Old Dominion
146,1986,W08,1330,Old Dominion
147,1992,W15,1330,Old Dominion
148,1995,W14,1330,Old Dominion
149,1997,W14,1330,Old Dominion
150,2005,Y12,1330,Old Dominion
151,2007,Y12,1330,Old Dominion
152,2010,X11,1330,Old Dominion
153,2011,Y09,1330,Old Dominion
154,1985,W13,1233,Iona
155,1998,Z12,1233,Iona
156,2000,Y14,1233,Iona
157,2001,Y14,1233,Iona
158,2006,W13,1233,Iona
159,2012,Z14b,1233,Iona
160,2013,Z15,1233,Iona
161,2016,X13,1233,Iona
162,1985,W14,1318,Northeastern
163,1986,W13,1318,Northeastern
164,1987,W14,1318,Northeastern
165,1991,W16,1318,Northeastern
166,2015,Y14,1318,Northeastern
167,1985,W15,1273,Mercer
168,2014,Y14,1273,Mercer
169,1985,W16,1250,Lehigh
170,1988,W16,1250,Lehigh
171,2004,Z16b,1250,Lehigh
172,2010,Y16,1250,Lehigh
173,2012,Y15,1250,Lehigh
174,1985,X01,1385,St John's
175,1986,Z01,1385,St John's
176,1987,Y06,1385,St John's
177,1988,Z11,1385,St John's
178,1990,W06,1385,St John's
179,1991,Y04,1385,St John's
180,1992,Z07,1385,St John's
181,1993,W05,1385,St John's
182,1998,Y07,1385,St John's
183,1999,Y03,1385,St John's
184,2000,Z02,1385,St John's
185,2002,W09,1385,St John's
186,2011,Y06,1385,St John's
187,2015,X09,1385,St John's
188,1985,X02,1433,VA Commonwealth
189,1996,Y12,1433,VA Commonwealth
190,2004,Y13,1433,VA Commonwealth
191,2007,Z11,1433,VA Commonwealth
192,2009,W11,1433,VA Commonwealth
193,2011,Z11b,1433,VA Commonwealth
194,2012,Y12,1433,VA Commonwealth
195,2013,X05,1433,VA Commonwealth
196,2014,X05,1433,VA Commonwealth
197,2015,Z07,1433,VA Commonwealth
198,2016,Z10,1433,VA Commonwealth
199,1985,X03,1301,NC State
200,1986,X06,1301,NC State
201,1987,W11,1301,NC State
202,1988,X03,1301,NC State
203,1989,W05,1301,NC State
204,1991,W06,1301,NC State
205,2002,W07,1301,NC State
206,2003,W09,1301,NC State
207,2004,X03,1301,NC State
208,2005,Z10,1301,NC State
