School,City,State,Zip,Latitude,Longitude,Team_id
UNC Wilmington,Wilmington,North Carolina,28401,34.2257,-77.9447,1423
Akron,Akron,Ohio,44301,41.0449,-81.52,1103
Alabama,Tuscaloosa,Alabama,35401,33.1969,-87.5627,1104
Alabama A&M,Huntsville,Alabama,35801,34.7269,-86.5673,1105
Alabama Birmingham,Birmingham,Alabama,35201,33.4564,-86.8019,1412
Alabama State,Montgomery,Alabama,36101,32.357,-86.2578,1106
Albany,Albany,New York,12201,42.6149,-73.9708,1107
LIU,Long Island,New York,11548,40.975290, -73.606241,1254
Alcorn State,Lorman,Mississippi,39096,31.8383,-91.0957,1108
American,Washington,District of Columbia,20001,38.9122,-77.0177,1110
Appalachian State,Boone,North Carolina,28607,36.2142,-81.666,1111
Arizona,Tucson,Arizona,85701,32.2139,-110.9694,1112
Arizona State,Tempe,Arizona,85280,33.4014,-111.9313,1113
Arkansas,Fayetteville,Arkansas,72701,36.052,-94.1534,1116
Arkansas Little Rock,Little Rock,Arkansas,72201,34.7483,-92.2819,1114
Arkansas Pine Bluff,Pine Bluff,Arkansas,71601,34.209,-91.9859,1115
Arkansas State,Jonesboro,Arkansas,72401,35.833,-90.6965,1117
Auburn,Auburn,Alabama,36830,32.5475,-85.4682,1120
Austin Peay State,Clarksville,Tennessee,37040,36.522,-87.349,1122
Ball State,Muncie,Indiana,47302,40.1684,-85.3807,1123
Baylor,Waco,Texas,76701,31.5525,-97.1396,1124
Belmont,Nashville,Tennessee,37201,36.1657,-86.7781,1125
Bethune-Cookman,Daytona Beach,Florida,32114,29.2012,-81.0371,1126
Binghamton,Vestal,New York,13850,42.0771,-76.0118,1127
Boise State,Boise,Idaho,83701,43.6038,-116.2729,1129
Boston College,Chestnut Hill,Massachusetts,2167,42.3208,-71.1698,1130
Boston,Boston,Massachusetts,2101,42.3706,-71.027,1131
Bowling Green State,Bowling Green,Ohio,43402,41.3815,-83.6507,1132
Bradley,Peoria,Illinois,61601,40.6931,-89.5898,1133
Brigham Young,Provo,Utah,84601,40.2319,-111.6755,1140
Brown,Providence,Rhode Island,2901,41.8228,-71.4145,1135
